Airport,Airline,Age,Gender,Destination,DepartureHr,DepartureTime,AccessTime,ProvinceResidence,ModeTransport,NoTransport,FlyingCompanion,Nationality,TransportCat,KoreanAir,Asiana,KoreanLCC,Foreign,Inchoen,Gimpo,Male,Female,Southeast AsiaD,ChinaD,JapanD,PersonalRoad,PublicSlow,PublicFast,SpecialityOthers,Korea,ChinaN,JapanN,SoutheastAsiaN,OtherN,DepartureHourFilled,AccessTimeFilled
1,2.0,44.0,1.0,1.0,14,2,45.0,1,2,2,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,14.0,45.0
1,2.0,30.0,2.0,3.0,16,2,40.0,4,8,2,2,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,16.0,40.0
1,4.0,49.0,1.0,3.0,20,3,40.0,8,5,1,2,1,2,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,20.0,40.0
1,1.0,50.0,2.0,3.0,20,3,30.0,2,5,1,2,1,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,20.0,30.0
1,4.0,52.0,2.0,3.0,21,4,100.0,8,6,1,0,1,3,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,21.0,100.0
1,4.0,54.0,2.0,3.0,20,3,,3,2,2,26,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,20.0,16.0
1,2.0,55.0,2.0,1.0,20,3,,1,5,2,4,1,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,20.0,44.0
1,1.0,60.0,2.0,3.0,20,3,,3,6,1,2,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,20.0,59.0
1,1.0,62.0,1.0,3.0,20,3,120.0,3,6,1,2,1,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,20.0,120.0
1,4.0,64.0,2.0,3.0,20,3,,3,2,2,26,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,20.0,16.0
1,3.0,27.0,2.0,3.0,17,2,60.0,1,6,1,4,1,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,17.0,60.0
1,3.0,25.0,2.0,3.0,17,2,60.0,1,6,1,4,1,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,17.0,60.0
1,3.0,24.0,2.0,3.0,17,2,100.0,3,6,1,1,1,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,17.0,100.0
1,3.0,28.0,1.0,3.0,17,2,60.0,1,6,1,2,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,17.0,60.0
1,3.0,29.0,1.0,3.0,19,3,,2,5,1,3,1,2,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,19.0,43.0
1,2.0,25.0,2.0,3.0,20,3,160.0,1,6,1,12,1,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,20.0,160.0
1,4.0,30.0,1.0,3.0,15,2,,6,2,3,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,15.0,40.0
1,3.0,36.0,1.0,3.0,19,3,,2,3,2,3,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,19.0,5.0
1,1.0,31.0,1.0,3.0,19,3,60.0,1,6,1,1,1,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,60.0
1,3.0,30.0,1.0,3.0,19,3,90.0,1,8,2,3,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,90.0
1,2.0,31.0,2.0,2.0,21,4,,8,1,1,2,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,21.0,47.0
1,2.0,37.0,2.0,1.0,20,3,90.0,3,6,1,4,1,3,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,20.0,90.0
1,3.0,45.0,1.0,3.0,19,3,,4,8,2,1,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,50.0
1,1.0,42.0,2.0,3.0,5,2,10.0,1,2,2,3,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,5.0,10.0
1,2.0,44.0,1.0,3.0,19,3,40.0,1,6,1,0,1,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,40.0
1,4.0,55.0,1.0,1.0,20,3,,8,6,1,1,1,3,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.0,70.0
1,4.0,52.0,1.0,1.0,20,3,,2,5,1,1,1,2,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.0,43.0
1,1.0,50.0,1.0,2.0,20,3,,8,9,1,2,1,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,20.0,56.0
1,2.0,30.0,2.0,3.0,20,3,,1,3,1,2,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,20.0,30.0
1,2.0,32.0,1.0,3.0,20,3,,1,3,1,2,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,20.0,30.0
1,4.0,47.0,2.0,3.0,20,3,40.0,8,5,1,2,1,2,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,20.0,40.0
1,1.0,47.0,2.0,3.0,20,3,,8,5,3,2,1,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,20.0,35.0
1,2.0,47.0,2.0,3.0,20,3,,1,5,1,4,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,20.0,44.0
1,3.0,37.0,1.0,3.0,21,4,,8,1,2,0,4,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,21.0,47.0
1,4.0,24.0,2.0,3.0,8,1,10.0,1,2,2,2,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,8.0,10.0
1,1.0,33.0,1.0,1.0,7,3,,1,1,1,2,2,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,7.0,44.0
1,1.0,30.0,1.0,3.0,20,3,80.0,3,9,1,1,1,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,20.0,80.0
1,3.0,30.0,1.0,3.0,20,3,60.0,3,6,1,1,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,20.0,60.0
1,1.0,50.0,2.0,3.0,9,1,,3,1,1,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,9.0,64.0
1,2.0,43.0,1.0,3.0,7,3,20.0,5,2,4,7,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,7.0,20.0
1,3.0,32.0,1.0,3.0,20,3,40.0,5,8,1,1,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,20.0,40.0
1,3.0,33.0,1.0,3.0,19,3,,2,8,1,1,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,32.0
1,2.0,36.0,1.0,3.0,19,3,,5,2,2,1,4,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,19.0,22.0
1,3.0,33.0,1.0,3.0,21,4,60.0,1,6,1,2,4,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,21.0,60.0
1,4.0,30.0,1.0,3.0,21,4,40.0,1,1,2,2,4,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,21.0,40.0
1,4.0,29.0,1.0,3.0,21,4,30.0,2,6,1,2,4,3,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,21.0,30.0
1,2.0,22.0,1.0,3.0,21,4,,4,4,1,0,4,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,21.0,55.0
1,1.0,44.0,1.0,3.0,,3,390.0,5,8,2,0,1,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,20.0,390.0
1,1.0,54.0,1.0,1.0,21,4,65.0,4,7,1,2,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,21.0,65.0
1,2.0,40.0,2.0,3.0,19,3,25.0,1,5,2,2,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,19.0,25.0
1,2.0,42.0,1.0,3.0,19,3,40.0,1,7,1,2,1,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,40.0
1,1.0,31.0,2.0,3.0,17,2,,1,7,1,1,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,17.0,40.0
1,1.0,21.0,1.0,3.0,17,2,,1,7,1,0,1,3,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,17.0,40.0
1,4.0,44.0,1.0,3.0,18,3,,5,8,1,4,4,3,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,18.0,147.0
1,3.0,24.0,2.0,3.0,20,3,120.0,5,8,2,2,1,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,20.0,120.0
1,2.0,52.0,2.0,3.0,17,2,15.0,1,2,1,4,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,17.0,15.0
1,3.0,71.0,2.0,3.0,8,3,,1,1,2,3,5,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,8.0,44.0
1,2.0,54.0,2.0,2.0,6,3,,8,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,6.0,44.0
1,2.0,37.0,2.0,3.0,20,3,90.0,1,6,1,2,4,3,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,20.0,90.0
1,2.0,37.0,1.0,1.0,20,3,30.0,3,3,2,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,20.0,30.0
1,2.0,41.0,2.0,3.0,7,3,10.0,1,2,1,2,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,7.0,10.0
1,3.0,27.0,1.0,3.0,19,3,20.0,1,6,1,1,1,3,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0,20.0
1,3.0,28.0,2.0,3.0,19,3,15.0,1,3,2,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,19.0,15.0
1,3.0,29.0,2.0,3.0,19,3,15.0,1,2,1,2,4,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,19.0,15.0
1,1.0,56.0,2.0,2.0,17,2,,8,1,2,2,3,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,17.0,47.0
1,2.0,59.0,2.0,3.0,19,3,,1,2,2,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,19.0,23.0
1,1.0,30.0,2.0,3.0,17,2,,1,6,1,3,1,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,17.0,61.0
1,1.0,28.0,2.0,3.0,8,3,110.0,5,8,2,2,4,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,8.0,110.0
1,1.0,21.0,2.0,1.0,19,3,35.0,8,2,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,19.0,35.0
1,3.0,29.0,2.0,3.0,19,3,5.0,1,2,2,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,19.0,5.0
1,1.0,26.0,1.0,1.0,16,2,20.0,1,1,2,2,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,16.0,20.0
1,1.0,25.0,2.0,3.0,8,2,15.0,1,2,2,2,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,8.0,15.0
1,4.0,37.0,2.0,3.0,20,3,30.0,1,5,2,1,1,2,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,20.0,30.0
1,3.0,33.0,1.0,3.0,19,3,60.0,3,3,2,2,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,19.0,60.0
