Airline,Airport,Age,Gender,TripPurpose,NoTripsLastYear,Destination,SeatClass,Airfare,Occupation,DepartureHr,Nationality,DepartureTime,OccupationCat,airlineCat,Inchoen,Gimpo,Male,Female,Southeast AsiaD,ChinaD,JapanD,Economy,Business,First,Leisure,BusinessPurpose,Study,OtherPurpose,HighLevelProfessionals,Service,SelfEmployed,NonWorking,KoreanMajor,KoreanLCForeign,Korea,ChinaN,JapanN,SoutheastAsiaN,OtherN,DepartureHourFilled
3.0,1,43.0,2.0,1,2,3.0,1.0,,5,19,4,3,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,19.0
3.0,1,21.0,2.0,1,0,3.0,1.0,,8,19,1,3,4,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,19.0
2.0,1,67.0,2.0,1,3,1.0,2.0,,7,8,1,3,3,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,8.0
2.0,1,66.0,1.0,1,1,1.0,1.0,78.0,7,20,1,3,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20.0
3.0,1,29.0,1.0,1,3,2.0,1.0,17.0,12,15,1,2,3,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,15.0
1.0,1,30.0,2.0,1,122,3.0,1.0,64.0,12,14,1,2,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14.0
2.0,1,44.0,2.0,1,4,1.0,1.0,31.0,9,12,2,2,4,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,12.0
3.0,1,36.0,1.0,1,3,3.0,1.0,,1,,1,2,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,17.0
2.0,1,53.0,1.0,2,50,3.0,1.0,75.0,2,18,5,3,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,18.0
4.0,1,47.0,1.0,1,0,2.0,1.0,20.0,12,5,1,2,3,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,5.0
1.0,1,27.0,1.0,2,4,2.0,1.0,67.0,12,18,1,3,3,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18.0
4.0,1,22.0,2.0,1,12,2.0,1.0,19.0,12,17,5,2,3,2,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,17.0
3.0,1,28.0,1.0,1,0,3.0,1.0,38.0,12,20,1,3,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20.0
4.0,1,29.0,2.0,1,2,1.0,1.0,30.0,2,19,2,3,1,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,19.0
1.0,1,47.0,1.0,1,3,3.0,1.0,,4,19,1,3,2,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,19.0
1.0,1,38.0,1.0,1,3,2.0,1.0,,2,,1,2,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,16.0
2.0,1,39.0,2.0,1,4,2.0,1.0,60.0,9,9,1,1,4,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9.0
3.0,1,26.0,2.0,1,0,3.0,1.0,,5,25,1,4,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,25.0
2.0,1,28.0,1.0,2,2,2.0,1.0,,2,,1,2,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,16.0
3.0,1,22.0,2.0,1,1,3.0,1.0,24.0,8,7,1,3,4,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,7.0
1.0,1,34.0,1.0,2,12,1.0,1.0,,2,19,2,3,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,19.0
2.0,1,40.0,1.0,2,3,1.0,1.0,,12,14,1,2,3,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,14.0
3.0,1,22.0,2.0,3,2,3.0,1.0,24.0,12,7,4,3,3,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,7.0
3.0,1,33.0,1.0,1,1,3.0,1.0,40.0,12,16,1,2,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,16.0
3.0,1,29.0,2.0,1,1,3.0,1.0,40.0,2,16,1,2,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,16.0
2.0,1,43.0,1.0,1,1,3.0,1.0,,12,,1,2,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,17.0
4.0,1,41.0,1.0,4,5,1.0,2.0,120.0,12,13,1,2,3,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,13.0
1.0,1,30.0,1.0,1,10,3.0,1.0,65.0,12,14,1,2,3,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14.0
2.0,1,50.0,2.0,1,0,2.0,1.0,23.0,9,14,1,2,4,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14.0
2.0,1,31.0,1.0,2,5,1.0,1.0,54.0,3,12,1,2,2,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,12.0
1.0,1,34.0,1.0,2,6,1.0,1.0,20.0,1,13,1,2,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,13.0
4.0,1,47.0,1.0,1,2,3.0,1.0,,12,13,1,2,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.0
1.0,1,40.0,1.0,1,0,3.0,3.0,,2,,1,2,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,17.0
3.0,1,30.0,2.0,1,3,3.0,1.0,60.0,2,20,1,3,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,20.0
2.0,1,32.0,1.0,1,1,3.0,2.0,75.0,12,16,1,2,3,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,16.0
4.0,1,45.0,1.0,1,0,3.0,1.0,61.0,12,13,1,2,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.0
4.0,1,40.0,2.0,1,2,3.0,1.0,61.0,12,13,1,2,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.0
4.0,1,39.0,1.0,1,0,3.0,2.0,30.0,12,13,1,2,3,2,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.0
4.0,1,37.0,1.0,1,5,3.0,1.0,41.0,12,13,1,2,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,13.0
2.0,1,44.0,1.0,2,80,1.0,2.0,,12,14,1,2,3,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,14.0
